id,device,accX,accY,accZ,millis,created,gyX,gyY,gyZ,magX,magY,magZ,yaw,pitch,roll,temp
1361697,pilot02,-71.7773,-77.1484,906.189,183729571,2020-04-28 04:04:57.507,0,0,0,0,0,0,0,0,0,0
1361698,pilot02,-69.397,-73.9136,916.4429,183747321,2020-04-28 04:05:15.623,0,0,0,0,0,0,0,0,0,0
1361699,pilot02,-71.228,-59.9976,944.2749,183765430,2020-04-28 04:05:34.287,0,0,0,0,0,0,0,0,0,0
1361700,pilot02,-70.7397,-73.5474,920.4712,183784094,2020-04-28 04:05:51.483,0,0,0,0,0,0,0,0,0,0
1361701,pilot02,-65.6128,-70.8008,938.4155,183801284,2020-04-28 04:06:08.973,0,0,0,0,0,0,0,0,0,0
1361702,pilot02,-35.7666,-57.6782,857.3608,183818769,2020-04-28 04:06:28.293,0,0,0,0,0,0,0,0,0,0
1361703,pilot02,-57.1899,-29.3579,929.3823,183838102,2020-04-28 04:06:46.077,0,0,0,0,0,0,0,0,0,0
1361704,pilot02,-69.458,-90.271,885.5591,183855891,2020-04-28 04:07:03.597,0,0,0,0,0,0,0,0,0,0
1361705,pilot02,-33.0811,-69.0918,862.3657,183873406,2020-04-28 04:07:21.033,0,0,0,0,0,0,0,0,0,0
1361706,pilot02,-69.1528,-111.3892,934.2041,183890836,2020-04-28 04:07:37.977,0,0,0,0,0,0,0,0,0,0
1361707,pilot02,-59.3262,-30.1514,929.8096,183907787,2020-04-28 04:07:55.867,0,0,0,0,0,0,0,0,0,0
1361708,pilot02,-99.4873,-52.2461,831.1768,183925652,2020-04-28 04:08:13.587,0,0,0,0,0,0,0,0,0,0
1361709,pilot02,-46.1426,-57.6172,962.9517,183943381,2020-04-28 04:08:30.543,0,0,0,0,0,0,0,0,0,0
1361710,pilot02,-25.1465,-35.9497,923.2178,183960442,2020-04-28 04:08:49.420,0,0,0,0,0,0,0,0,0,0
1361711,pilot02,-80.3223,-66.04,1001.0986,183979220,2020-04-28 04:09:06.960,0,0,0,0,0,0,0,0,0,0
1361712,pilot02,-73.7915,-54.9316,862.6099,183996525,2020-04-28 04:09:27.027,0,0,0,0,0,0,0,0,0,0
1361713,pilot02,-65.7349,-53.6499,893.9209,184016830,2020-04-28 04:09:44.957,0,0,0,0,0,0,0,0,0,0
1361714,pilot02,-27.3438,-47.9126,1007.9346,184034744,2020-04-28 04:10:04.493,0,0,0,0,0,0,0,0,0,0
1361715,pilot02,-78.6133,-88.0127,791.1377,184054301,2020-04-28 04:10:24.593,0,0,0,0,0,0,0,0,0,0
1361716,pilot02,-61.7065,-110.1074,976.8677,184074382,2020-04-28 04:10:42.640,0,0,0,0,0,0,0,0,0,0
1361717,pilot02,-68.2373,-25.8789,908.0811,184092446,2020-04-28 04:11:02.657,0,0,0,0,0,0,0,0,0,0
1361718,pilot02,-80.9937,-60.1196,916.9922,184112462,2020-04-28 04:11:20.373,0,0,0,0,0,0,0,0,0,0
1361719,pilot02,-56.8237,-64.27,796.5088,184130166,2020-04-28 04:11:43.067,0,0,0,0,0,0,0,0,0,0
1361720,pilot02,-65.5518,-45.5933,932.0679,184152848,2020-04-28 04:12:01.323,0,0,0,0,0,0,0,0,0,0
1361721,pilot02,-63.7207,-46.0205,931.0303,184171127,2020-04-28 04:12:21.200,0,0,0,0,0,0,0,0,0,0
1361722,pilot02,-56.9458,-57.4951,970.7642,184191003,2020-04-28 04:12:39.950,0,0,0,0,0,0,0,0,0,0
1361723,pilot02,-57.1899,-50.8423,928.9551,184209746,2020-04-28 04:12:59.587,0,0,0,0,0,0,0,0,0,0
