"id","device","accX","accY","accZ","millis","created"
4849874,"pilot99",9.993398,0.3232172,0.01915361,649901012,"2020-08-05T00:03:32.377Z"
4849877,"pilot99",9.964667,0.5530606,1.860295,649901013,"2020-08-05T00:03:33.303Z"
4849880,"pilot99",9.799467,0.7015011,0.6512229,649901014,"2020-08-05T00:03:34.320Z"
4849883,"pilot99",9.753978,-0.5650316,-0.1963245,649901015,"2020-08-05T00:03:35.370Z"
4849886,"pilot99",10.28549,-0.2035071,-1.750161,649901016,"2020-08-05T00:03:36.383Z"
4849889,"pilot99",10.76194,0.4716577,2.142811,649901017,"2020-08-05T00:03:37.587Z"
4849891,"pilot99",9.581595,0.04548983,-0.2944868,649901018,"2020-08-05T00:03:38.890Z"
4849895,"pilot99",10.0341,-0.3591303,-1.359907,649901019,"2020-08-05T00:03:39.343Z"
4849898,"pilot99",9.459491,0.6655881,-0.6943185,649901020,"2020-08-05T00:03:40.377Z"
4849901,"pilot99",9.940725,0.3926491,-1.905785,649901021,"2020-08-05T00:03:41.377Z"
4849904,"pilot99",9.76116,-0.3974375,-1.764527,649901022,"2020-08-05T00:03:42.313Z"
4849907,"pilot99",11.08276,0.7685388,1.005565,649901023,"2020-08-05T00:03:43.280Z"
4849910,"pilot99",10.22085,0.6200982,1.764527,649901024,"2020-08-05T00:03:44.343Z"
4849913,"pilot99",9.662998,0.1029507,-0.5243302,649901025,"2020-08-05T00:03:45.373Z"
4849916,"pilot99",10.37647,0.1747767,-2.391808,649901026,"2020-08-05T00:03:46.297Z"
4849919,"pilot99",10.83376,0.7733272,1.630451,649901027,"2020-08-05T00:03:47.333Z"
4849922,"pilot99",9.246407,0.5386954,0.2059013,649901028,"2020-08-05T00:03:48.273Z"
4849926,"pilot99",10.14423,-0.07661445,-1.261744,649901029,"2020-08-05T00:03:49.367Z"
4849929,"pilot99",10.27591,0.7062895,1.640028,649901030,"2020-08-05T00:03:50.283Z"
4849932,"pilot99",10.20648,-0.03112462,0.1843535,649901031,"2020-08-05T00:03:51.303Z"
4849936,"pilot99",9.540894,0.2657564,-0.4740519,649901032,"2020-08-05T00:03:52.423Z"
4849938,"pilot99",10.22564,0.1101333,-0.521936,649901033,"2020-08-05T00:03:53.393Z"
4849941,"pilot99",10.26155,-0.2082956,-1.098939,649901034,"2020-08-05T00:03:54.380Z"
4849944,"pilot99",10.71166,0.213084,1.771709,649901035,"2020-08-05T00:03:55.297Z"
4849947,"pilot99",9.844957,1.11091,0.3184288,649901036,"2020-08-05T00:03:56.330Z"
4849950,"pilot99",9.593566,0.002394202,-3.066972,649901037,"2020-08-05T00:03:57.343Z"
4849953,"pilot99",10.55843,0.02154782,0.320823,649901038,"2020-08-05T00:03:58.360Z"
4849956,"pilot99",10.53928,0.4596867,-0.2106898,649901039,"2020-08-05T00:03:59.267Z"
4849959,"pilot99",9.631873,0.5051765,0.344765,649901040,"2020-08-05T00:04:00.317Z"
4849962,"pilot99",10.35732,-0.1460463,0.1939303,649901041,"2020-08-05T00:04:01.340Z"
4849965,"pilot99",10.12029,0.5554548,-0.09337386,649901042,"2020-08-05T00:04:02.357Z"
4849968,"pilot99",9.842564,0.7996634,-0.4022259,649901043,"2020-08-05T00:04:03.293Z"
4849971,"pilot99",9.421184,0.9624691,2.710236,649901044,"2020-08-05T00:04:04.327Z"
4849974,"pilot99",9.957485,0.2274492,-1.405396,649901045,"2020-08-05T00:04:05.320Z"
4849978,"pilot99",10.04846,-0.2753332,3.205836,649901046,"2020-08-05T00:04:06.357Z"
4849981,"pilot99",10.2807,0.5961562,0.8762778,649901047,"2020-08-05T00:04:07.373Z"
4849984,"pilot99",9.818622,0.3926491,0.2537854,649901048,"2020-08-05T00:04:08.300Z"
4849987,"pilot99",10.11311,-0.3280056,-3.404555,649901049,"2020-08-05T00:04:09.330Z"
4849990,"pilot99",10.38844,0.3591303,3.148375,649901050,"2020-08-05T00:04:10.347Z"
4849993,"pilot99",9.691729,0.3782839,-0.7493851,649901051,"2020-08-05T00:04:11.360Z"
4849996,"pilot99",9.445126,0.2537854,3.311181,649901052,"2020-08-05T00:04:12.283Z"
4849999,"pilot99",10.01495,0.1053449,-2.554613,649901053,"2020-08-05T00:04:13.363Z"
4850002,"pilot99",10.12987,0.2466028,1.06542,649901054,"2020-08-05T00:04:14.333Z"
4850005,"pilot99",10.20169,0.1628057,0.3998317,649901055,"2020-08-05T00:04:15.350Z"
4850008,"pilot99",10.17536,0.6153098,0.926556,649901056,"2020-08-05T00:04:16.297Z"
4850011,"pilot99",9.818622,0.3136404,-2.047042,649901057,"2020-08-05T00:04:17.303Z"
4850013,"pilot99",10.33337,-0.1005565,1.893814,649901058,"2020-08-05T00:04:18.340Z"
4850017,"pilot99",10.57998,0.4525041,-1.489193,649901059,"2020-08-05T00:04:19.353Z"
4850020,"pilot99",10.10114,0.4285621,2.154782,649901060,"2020-08-05T00:04:20.373Z"
4850023,"pilot99",10.24,0.3160346,-2.497152,649901061,"2020-08-05T00:04:21.287Z"
4850026,"pilot99",10.6925,0.3112462,1.594538,649901062,"2020-08-05T00:04:22.320Z"
4850030,"pilot99",9.85214,0.5506664,-1.70946,649901063,"2020-08-05T00:04:23.350Z"
4850033,"pilot99",9.813833,0.5674258,1.13964,649901064,"2020-08-05T00:04:24.370Z"
4850036,"pilot99",10.39084,0.6536171,-0.7996634,649901065,"2020-08-05T00:04:25.287Z"
4850039,"pilot99",9.986216,-0.06943185,-1.364695,649901066,"2020-08-05T00:04:26.300Z"
4850042,"pilot99",10.31662,0.6248866,1.027112,649901067,"2020-08-05T00:04:27.333Z"
4850045,"pilot99",9.825804,0.842759,0.06943185,649901068,"2020-08-05T00:04:28.350Z"
